player_name,player_page
Gorgui Dieng,https://www.spotrac.com/redirect/player/13334/
Tracy McGrady,https://www.spotrac.com/redirect/player/2397/
Julius Randle,https://www.spotrac.com/redirect/player/15359/
Kevin Durant,https://www.spotrac.com/redirect/player/2717/
Danilo Gallinari,https://www.spotrac.com/redirect/player/6138/
Paul Pierce,https://www.spotrac.com/redirect/player/2217/
Theo Ratliff,https://www.spotrac.com/redirect/player/2308/
Richard Jefferson,https://www.spotrac.com/redirect/player/2594/
Kevin Love,https://www.spotrac.com/redirect/player/6132/
Brook Lopez,https://www.spotrac.com/redirect/player/6136/
LeBron James,https://www.spotrac.com/redirect/player/2257/
Paul Millsap,https://www.spotrac.com/redirect/player/2754/
Jerami Grant,https://www.spotrac.com/redirect/player/15391/
Al Horford,https://www.spotrac.com/redirect/player/2199/
Joakim Noah,https://www.spotrac.com/redirect/player/2248/
Danny Granger,https://www.spotrac.com/redirect/player/2409/
Eddy Curry,https://www.spotrac.com/redirect/player/2619/
Marcin Gortat,https://www.spotrac.com/redirect/player/2639/
Nene Hilario,https://www.spotrac.com/redirect/player/6103/
Nikola Pekovic,https://www.spotrac.com/redirect/player/7003/
Andrew Bogut,https://www.spotrac.com/redirect/player/2560/
Malik Beasley,https://www.spotrac.com/redirect/player/20224/
Rasheed Wallace,https://www.spotrac.com/redirect/player/2311/
Antonio McDyess,https://www.spotrac.com/redirect/player/2306/
Chris Webber,https://www.spotrac.com/redirect/player/12218/
Roy Hibbert,https://www.spotrac.com/redirect/player/6113/
Eric Gordon,https://www.spotrac.com/redirect/player/6116/
Jason Terry,https://www.spotrac.com/redirect/player/2281/
Josh Smith,https://www.spotrac.com/redirect/player/2205/
DeMarre Carroll,https://www.spotrac.com/redirect/player/6294/
Troy Murphy,https://www.spotrac.com/redirect/player/2411/
Omer Asik,https://www.spotrac.com/redirect/player/7110/
Marc Gasol,https://www.spotrac.com/redirect/player/6122/
Andrew Bynum,https://www.spotrac.com/redirect/player/2515/
J.R. Smith,https://www.spotrac.com/redirect/player/2296/
Pau Gasol,https://www.spotrac.com/redirect/player/2518/
George Hill,https://www.spotrac.com/redirect/player/6154/
Jeff Teague,https://www.spotrac.com/redirect/player/6272/
Terry Rozier,https://www.spotrac.com/redirect/player/17844/
Kobe Bryant,https://www.spotrac.com/redirect/player/2514/
Dikembe Mutombo,https://www.spotrac.com/redirect/player/2398/
Cody Zeller,https://www.spotrac.com/redirect/player/13317/
Luke Kennard,https://www.spotrac.com/redirect/player/23607/
Dorian Finney-Smith,https://www.spotrac.com/redirect/player/20757/
Jamal Crawford,https://www.spotrac.com/redirect/player/2618/
Tyson Chandler,https://www.spotrac.com/redirect/player/2605/
Hakeem Olajuwon,https://www.spotrac.com/redirect/player/16238/
Rajon Rondo,https://www.spotrac.com/redirect/player/2222/
Zydrunas Ilgauskas,https://www.spotrac.com/redirect/player/2256/
Marcus Camby,https://www.spotrac.com/redirect/player/6252/
Ricky Rubio,https://www.spotrac.com/redirect/player/6305/
Marvin Williams,https://www.spotrac.com/redirect/player/2208/
Kevin Durant,https://www.spotrac.com/redirect/player/2717/
Robin Lopez,https://www.spotrac.com/redirect/player/6147/
Josh Smith,https://www.spotrac.com/redirect/player/2205/
Andris Biedrins,https://www.spotrac.com/redirect/player/2315/
Thaddeus Young,https://www.spotrac.com/redirect/player/2658/
Terrence Ross,https://www.spotrac.com/redirect/player/10816/
Spencer Dinwiddie,https://www.spotrac.com/redirect/player/15390/
Chris Kaman,https://www.spotrac.com/redirect/player/2475/
David Robinson,https://www.spotrac.com/redirect/player/16237/
Jamal Mashburn,https://www.spotrac.com/redirect/player/11430/
Kevin Martin,https://www.spotrac.com/redirect/player/2692/
Nikola Vucevic,https://www.spotrac.com/redirect/player/8067/
Will Barton,https://www.spotrac.com/redirect/player/10865/
